temperature,value
1000,-0
999.5,-0
999,-0
998.5,-0
998,-0
997.5,-0
997,-0
996.5,-0
996,-0
995.5,-0
995,-0
994.5,0
994,-0
993.5,-0
993,-0
992.5,0
992,0
991.5,0
991,0
990.5,-0
990,-0
989.5,-0
989,-0
988.5,-0
988,-0
987.5,-0
987,0
986.5,-0
986,-0
985.5,-0
985,-0
984.5,0
984,-0
983.5,-0
983,-0
982.5,-0
982,-0
981.5,0
981,-0
980.5,-0
980,-0
979.5,0
979,0
978.5,-0
978,-0
977.5,0
977,0
976.5,0
976,0
975.5,-0
975,0
974.5,-0
974,-0
973.5,0
973,0
972.5,-0
972,0
971.5,-0
971,-0
970.5,0
970,-0
969.5,-0
969,-0
968.5,0
968,0
967.5,-0
967,0
966.5,0
966,0
965.5,0
965,-0
964.5,0
964,0
963.5,-0
963,0
962.5,-0
962,0
961.5,0
961,-0
960.5,0
960,-0
959.5,0
959,-0
958.5,-0
958,0
957.5,-0
957,-0
956.5,0
956,0
955.5,0
955,-0
954.5,0
954,-0
953.5,-0
953,-0
952.5,-0
952,-0
951.5,0
951,-0
950.5,0
950,-0
949.5,-0
949,0
948.5,0
948,-0
947.5,-0
947,0
946.5,-0
946,-0
945.5,0
945,0
944.5,-0
944,0
943.5,-0
943,0
942.5,-0
942,-0
941.5,-0
941,-0
940.5,0
940,-0
939.5,0
939,0
938.5,-0
938,0
937.5,-0
937,-0
936.5,0
936,-0
935.5,-0
935,-0
934.5,0
934,-0
933.5,0
933,-0
932.5,0
932,0
931.5,0
931,-0
930.5,-0
930,0
929.5,0
929,-0
928.5,-0
928,-0
927.5,-0
927,0
926.5,-0
926,-0
925.5,0
925,0
924.5,-0
924,0
923.5,0
923,0
922.5,-0
922,-0
921.5,-0
921,0
920.5,0
920,-0
919.5,0
919,0
918.5,0
918,0
917.5,-0
917,0
916.5,-0
916,0
915.5,-0
915,0
914.5,-0
914,-0
913.5,0
913,-0
912.5,-0
912,-0
911.5,-0
911,-0
910.5,0
910,-0
909.5,0
909,-0
908.5,-0
908,0
