temperature,value
1000,-0
999.5,0
999,0
998.5,0
998,-0
997.5,-0
997,-0
996.5,0
996,0
995.5,-0
995,0
994.5,-0
994,0
993.5,-0
993,-0
992.5,-0
992,-0
991.5,0
991,-0
990.5,0
990,0
989.5,0
989,0
988.5,-0
988,0
987.5,-0
987,-0
986.5,0
986,-0
985.5,0
985,-0
984.5,-0
984,-0
983.5,-0
983,-0
982.5,0
982,-0
981.5,-0
981,-0
980.5,-0
980,0
979.5,0
979,-0
978.5,-0
978,0
977.5,0
977,-0
976.5,-0
976,-0
975.5,-0
975,0
974.5,-0
974,-0
973.5,-0
973,0
972.5,0
972,0
971.5,0
971,0
970.5,-0
970,0
969.5,-0
969,0
968.5,0
968,0
967.5,-0
967,-0
966.5,0
966,0
965.5,-0
965,-0
964.5,0
964,0
963.5,-0
963,0
962.5,-0
962,-0
961.5,0
961,0
960.5,0
960,0
959.5,-0
959,-0
958.5,0
958,-0
957.5,0
957,0
956.5,-0
956,-0
955.5,0
955,0
954.5,-0
954,0
953.5,-0
953,0
952.5,0
952,0
951.5,-0
951,0
950.5,0
950,-0
949.5,0
949,0
948.5,-0
948,0
947.5,0
947,-0
946.5,-0
946,0
945.5,0
945,0
944.5,-3.79298e-316
944,-1.05325e-195
943.5,-3.25476e-133
943,-3.68859e-55
942.5,-9.11634e-14
942,-0.791779
941.5,-0.777114
941,-0.973529
940.5,-0.81382
940,-0.694713
939.5,-0.730868
939,-0.896216
938.5,-0.835598
938,-0.980052
937.5,-0.87965
937,-0.973109
936.5,-0.99644
936,-0.995581
935.5,-0.883876
935,-0.781588
934.5,-0.873835
934,-0.82876
933.5,-0.965698
933,-0.677734
932.5,-0.611008
932,-0.889746
931.5,-0.474663
931,-0.7214
930.5,-0.779236
930,-0.959371
929.5,-0.352163
929,-0.853992
928.5,-0.999346
928,-0.161955
927.5,-0.586252
927,-0.997847
926.5,-0.947886
926,-0.967411
925.5,-0.482069
925,-0.973101
924.5,-0.903916
924,-0.719276
923.5,-0.0453941
923,-0.578917
922.5,-0.823408
