temperature,value
5000,0
4999.5,0
4999,-0
4998.5,-0
4998,-0
4997.5,0
4997,0
4996.5,0
4996,-0
4995.5,-0
4995,0
4994.5,0
4994,0
4993.5,-0
4993,-0
4992.5,0
4992,0
4991.5,0
4991,-0
4990.5,-0
4990,0
4989.5,-0
4989,0
4988.5,0
4988,-0
4987.5,-0
4987,-0
4986.5,0
4986,-0
4985.5,-0
4985,0
4984.5,0
4984,-0
4983.5,-0
4983,-0
4982.5,0
4982,0
4981.5,-0
4981,-0
4980.5,-0
4980,-0
4979.5,-0
4979,-0
4978.5,0
4978,0
4977.5,0
4977,-0
4976.5,-0
4976,-0
4975.5,0
4975,-0
4974.5,0
4974,0
4973.5,-0
4973,-0
4972.5,-0
4972,0
4971.5,-0
4971,0
4970.5,-0
4970,0
4969.5,-0
4969,0
4968.5,0
4968,-0
4967.5,-0
4967,-0
4966.5,0
4966,0
4965.5,-0
4965,0
4964.5,-0
4964,0
4963.5,-0
4963,0
4962.5,-0
4962,-0
4961.5,0
4961,0
4960.5,0
4960,-0
4959.5,0
4959,-0
4958.5,-0
4958,-0
4957.5,-0
4957,0
4956.5,-0
4956,0
4955.5,0
4955,0
4954.5,0
4954,0
4953.5,0
4953,-0
4952.5,-0
4952,-0
4951.5,-0
4951,-0
4950.5,-0
4950,0
4949.5,0
4949,0
4948.5,-0
4948,0
4947.5,0
4947,0
4946.5,0
4946,-0
4945.5,-0
4945,0
4944.5,-0
4944,0
4943.5,-0
4943,0
4942.5,-0
4942,-0
4941.5,0
4941,0
4940.5,0
4940,-0
4939.5,0
4939,0
4938.5,0
4938,-0
4937.5,-0
4937,0
4936.5,-0
4936,0
4935.5,-0
4935,0
4934.5,0
4934,-0
4933.5,-0
4933,0
4932.5,-0
4932,0
4931.5,-0
4931,0
4930.5,-0
4930,-0
4929.5,-0
4929,0
4928.5,0
4928,-0
4927.5,-0
4927,-0
4926.5,0
4926,0
4925.5,-0
4925,-0
4924.5,-0
4924,-0
4923.5,-0
4923,-0
4922.5,-0
4922,0
4921.5,0
4921,-0
4920.5,0
4920,-0
4919.5,0
4919,0
4918.5,-0
4918,-0
4917.5,-0
4917,-0
4916.5,-0
4916,-0
4915.5,0
4915,-0
4914.5,0
4914,-0
4913.5,-0
4913,0
4912.5,0
4912,0
4911.5,0
4911,0
4910.5,-0
4910,0
4909.5,0
4909,-0
4908.5,-0
4908,-0
4907.5,-0
4907,0
4906.5,0
4906,0
4905.5,-0
4905,-0
4904.5,-0
4904,0
4903.5,0
4903,-0
4902.5,0
4902,0
4901.5,0
4901,0
4900.5,-0
4900,-0
4899.5,-0
4899,-0
4898.5,0
4898,0
4897.5,-0
4897,-0
